"conti","name"
"http://dbpedia.org/resource/Zealandia","Zealandia"
"http://dbpedia.org/resource/Paleocontinent","Paleocontinent"
"http://dbpedia.org/resource/List_of_paleocontinents","List of paleocontinents"
"http://dbpedia.org/resource/Asia","Asia"
"http://dbpedia.org/resource/Europe","Europe"
"http://dbpedia.org/resource/Supercontinent","Supercontinent"
"http://dbpedia.org/resource/Africa","Africa"
"http://dbpedia.org/resource/Americas","Americas"
"http://dbpedia.org/resource/North_America","North America"
"http://dbpedia.org/resource/South_America","South America"
"http://dbpedia.org/resource/Transcontinental_railroad","Transcontinental railroad"
"http://dbpedia.org/resource/Antarctica","Antarctica"
"http://dbpedia.org/resource/Continental_fragment","Continental fragment"
"http://dbpedia.org/resource/Four_continents","Four continents"
"http://dbpedia.org/resource/Subregion","Subregion"
"http://dbpedia.org/resource/Boundaries_between_the_continents_of_Earth","Boundaries between the continents of Earth"
"http://dbpedia.org/resource/Submerged_continent","Submerged continent"
"http://dbpedia.org/resource/Continent","Continent"
"http://dbpedia.org/resource/Australia_(continent)","Australia (continent)"
"http://dbpedia.org/resource/Indian_subcontinent","Indian subcontinent"
