"euCountry","name"
"http://dbpedia.org/resource/Austria","Austria"
"http://dbpedia.org/resource/Estonia","Estonia"
"http://dbpedia.org/resource/Albania","Albania"
"http://dbpedia.org/resource/Andorra","Andorra"
"http://dbpedia.org/resource/Azerbaijan","Azerbaijan"
"http://dbpedia.org/resource/Belarus","Belarus"
"http://dbpedia.org/resource/Belgium","Belgium"
"http://dbpedia.org/resource/Bosnia_and_Herzegovina","Bosnia and Herzegovina"
"http://dbpedia.org/resource/Bulgaria","Bulgaria"
"http://dbpedia.org/resource/Croatia","Croatia"
"http://dbpedia.org/resource/Cyprus","Cyprus"
"http://dbpedia.org/resource/Czech_Republic","Czech Republic"
"http://dbpedia.org/resource/Finland","Finland"
"http://dbpedia.org/resource/Germany","Germany"
"http://dbpedia.org/resource/Greece","Greece"
"http://dbpedia.org/resource/Hungary","Hungary"
"http://dbpedia.org/resource/Iceland","Iceland"
"http://dbpedia.org/resource/Italy","Italy"
"http://dbpedia.org/resource/Kazakhstan","Kazakhstan"
"http://dbpedia.org/resource/Kosovo","Kosovo"
"http://dbpedia.org/resource/Latvia","Latvia"
"http://dbpedia.org/resource/Liechtenstein","Liechtenstein"
"http://dbpedia.org/resource/Lithuania","Lithuania"
"http://dbpedia.org/resource/Luxembourg","Luxembourg"
"http://dbpedia.org/resource/Malta","Malta"
"http://dbpedia.org/resource/Moldova","Moldova"
"http://dbpedia.org/resource/Monaco","Monaco"
"http://dbpedia.org/resource/Republic_of_Ireland","Republic of Ireland"
"http://dbpedia.org/resource/Sweden","Sweden"
"http://dbpedia.org/resource/Denmark","Denmark"
"http://dbpedia.org/resource/Georgia_(country)","Georgia (country)"
"http://dbpedia.org/resource/Montenegro","Montenegro"
"http://dbpedia.org/resource/Netherlands","Netherlands"
"http://dbpedia.org/resource/Norway","Norway"
"http://dbpedia.org/resource/Poland","Poland"
"http://dbpedia.org/resource/Portugal","Portugal"
"http://dbpedia.org/resource/Romania","Romania"
"http://dbpedia.org/resource/Russia","Russia"
"http://dbpedia.org/resource/San_Marino","San Marino"
"http://dbpedia.org/resource/Serbia","Serbia"
"http://dbpedia.org/resource/Slovakia","Slovakia"
"http://dbpedia.org/resource/Slovenia","Slovenia"
"http://dbpedia.org/resource/Spain","Spain"
"http://dbpedia.org/resource/Switzerland","Switzerland"
"http://dbpedia.org/resource/Ukraine","Ukraine"
"http://dbpedia.org/resource/United_Kingdom","United Kingdom"
"http://dbpedia.org/resource/Vatican_City","Vatican City"
"http://dbpedia.org/resource/France","France"
"http://dbpedia.org/resource/North_Macedonia","North Macedonia"
"http://dbpedia.org/resource/Armenia","Armenia"
"http://dbpedia.org/resource/Turkey","Turkey"
